a,b
"1059","Terminator 5 Full Movie HDbest of Arnold ... http://t.co/LMLVppraF5"
"1060","@oldgaulian this movie seemed more real, even if James Bond and Sarah Connor meet in some weird 007/terminator fan fiction way"
"1061","RT @ActorTrivia: James Cameron sold the rights to Terminator on the condition that he direct the movie."
"1062","RT @ActorTrivia: James Cameron sold the rights to Terminator on the condition that he direct the movie."
"1063","RT @ActorTrivia: James Cameron sold the rights to Terminator on the condition that he direct the movie."
"1064","RT @ActorTrivia: James Cameron sold the rights to Terminator on the condition that he direct the movie."
"1065","As excited I am for the new terminator movie, idk how daenerys is going to be as Sarah Connor."
"1066","RT @ActorTrivia: James Cameron sold the rights to Terminator on the condition that he direct the movie."
"1067","RT @ActorTrivia: James Cameron sold the rights to Terminator on the condition that he direct the movie."
"1068","RT @ActorTrivia: James Cameron sold the rights to Terminator on the condition that he direct the movie."
"1069","RT @ActorTrivia: James Cameron sold the rights to Terminator on the condition that he direct the movie."
"1070","RT @ActorTrivia: James Cameron sold the rights to Terminator on the condition that he direct the movie."
"1071","James Cameron sold the rights to Terminator on the condition that he direct the movie."
"1072","update on that movie: i turned on terminator 2 and fell asleep within 2 mins lol"
"1073","Terminator Genisys - new character posters --&gt; http://t.co/4zUxEI89pa http://t.co/2f0kSCRWNF"
"1074","@VivintheValley knowing your love for Terminator, what're your thoughts on the upcoming movie?"
"1075","Finally got round to watching the 4th terminator movie.
In the 3rd one...the coffin....""she died of... http://t.co/ZnO6yygRoQ"
"1076","Terminator: Genisys Official Trailer #2 (2015) - Arnold Schwarzenegger Movie HD http://t.co/qXPwoXmEfH"
"1077","#Terminator Genisys #ArnoldSchwarzenegger Hot New Art 2015 Movie 20""x14"" #Poster http://t.co/Yb6e3kDHtQ #Governor #Actor"
"1078","I still refuse to acknowledge the subtitle under the latest Terminator movie."
"1079","Future For New TERMINATOR Trilogy - AMC Movie News http://t.co/mRzvVaIn8l http://t.co/j5037NsJWr"
"1080","Seeing the new Avengers movie the way it was meant to be seen: alone and sweaty. Ooo a new terminator. No chance that'll suck."
"1081","""Line about Terminator being favorite romantic movie had me laughing out loud"" #iartg #books http://t.co/9GeKjY3pUb http://t.co/YjOZvI7FMl"
"1082","I LOVE THE TERMINATOR SO MUCH IN 2015,EVEN FOR A CLASSIC MOVIE. I BROUGHT HIM TO THE HARLEY DAVIDSON STORE.AND GAVE HIM BEST QUALITY BIKE."
"1083","trying to invent a new movie by channel flipping between Terminator 2, LOTR The Two Towers, and Grease."
"1084","Calling it now: Terminator: Genisys will be the weakest summer movie of the year."
"1085","The new Terminator movie looks so confusing."
"1086","The new #Terminator movie looks fucking awful."
